Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2022,December,1 North West Metro, Banyule,"5,387","4,264.2", BANYULE,Banyule
2022,December,1 North West Metro, Brimbank,"12,156","6,248.0", BRIMBANK,Brimbank
2022,December,1 North West Metro, Darebin,"9,321","6,246.0", DAREBIN,Darebin
2022,December,1 North West Metro, Hobsons Bay,"4,664","5,088.8", HOBSONS BAY,Hobsons Bay
2022,December,1 North West Metro, Hume,"12,753","5,066.2", HUME,Hume
2022,December,1 North West Metro, Maribyrnong,"6,828","7,859.5", MARIBYRNONG,Maribyrnong
2022,December,1 North West Metro, Melbourne,"24,785","15,980.9", MELBOURNE,Melbourne
2022,December,1 North West Metro, Melton,"8,598","4,500.0", MELTON,Melton
2022,December,1 North West Metro, Merri-bek,"9,270","5,375.0", MERRI-BEK,Merri-bek
2022,December,1 North West Metro, Moonee Valley,"5,818","4,761.1", MOONEE VALLEY,Moonee Valley
2022,December,1 North West Metro, Nillumbik,"1,170","1,859.1", NILLUMBIK,Nillumbik
2022,December,1 North West Metro, Whittlesea,"8,929","3,806.4", WHITTLESEA,Whittlesea
2022,December,1 North West Metro, Wyndham,"13,316","4,328.9", WYNDHAM,Wyndham
2022,December,1 North West Metro, Yarra,"9,089","9,862.7", YARRA,Yarra
2022,December,1 North West Metro,Total,"132,084","5,900.6",TOTAL,Total
2022,December,2 Eastern, Alpine,349,"2,635.3", ALPINE,Alpine
2022,December,2 Eastern, Bass Coast,"2,060","4,912.7", BASS COAST,Bass Coast
2022,December,2 Eastern, Baw Baw,"2,867","4,824.2", BAW BAW,Baw Baw
2022,December,2 Eastern, Benalla,945,"6,528.6", BENALLA,Benalla
2022,December,2 Eastern, Boroondara,"5,589","3,318.5", BOROONDARA,Boroondara
2022,December,2 Eastern, East Gippsland,"3,386","6,893.4", EAST GIPPSLAND,East Gippsland
2022,December,2 Eastern, Greater Shepparton,"5,626","8,175.4", GREATER SHEPPARTON,Greater Shepparton
2022,December,2 Eastern, Indigo,566,"3,263.2", INDIGO,Indigo
2022,December,2 Eastern, Knox,"6,431","4,043.1", KNOX,Knox
2022,December,2 Eastern, Latrobe,"7,806","10,079.5", LATROBE,Latrobe
2022,December,2 Eastern, Manningham,"2,860","2,292.9", MANNINGHAM,Manningham
2022,December,2 Eastern, Mansfield,276,"2,678.5", MANSFIELD,Mansfield
2022,December,2 Eastern, Maroondah,"5,249","4,550.4", MAROONDAH,Maroondah
2022,December,2 Eastern, Mitchell,"2,490","4,831.5", MITCHELL,Mitchell
2022,December,2 Eastern, Moira,"1,474","4,831.9", MOIRA,Moira
2022,December,2 Eastern, Monash,"8,726","4,548.2", MONASH,Monash
2022,December,2 Eastern, Murrindindi,535,"3,502.9", MURRINDINDI,Murrindindi
2022,December,2 Eastern, South Gippsland,"1,330","4,338.1", SOUTH GIPPSLAND,South Gippsland
2022,December,2 Eastern, Strathbogie,381,"3,304.3", STRATHBOGIE,Strathbogie
2022,December,2 Eastern, Towong,130,"2,093.8", TOWONG,Towong
2022,December,2 Eastern, Wangaratta,"1,698","5,668.3", WANGARATTA,Wangaratta
2022,December,2 Eastern, Wellington,"3,062","6,684.8", WELLINGTON,Wellington
2022,December,2 Eastern, Whitehorse,"5,826","3,413.3", WHITEHORSE,Whitehorse
2022,December,2 Eastern, Wodonga,"2,701","6,157.7", WODONGA,Wodonga
