LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 BANYULE,2022,"5,387","4,264.2"
 BRIMBANK,2022,"12,156","6,248.0"
 DAREBIN,2022,"9,321","6,246.0"
 HOBSONS BAY,2022,"4,664","5,088.8"
 HUME,2022,"12,753","5,066.2"
 MARIBYRNONG,2022,"6,828","7,859.5"
 MELBOURNE,2022,"24,785","15,980.9"
 MELTON,2022,"8,598","4,500.0"
 MERRI-BEK,2022,"9,270","5,375.0"
 MOONEE VALLEY,2022,"5,818","4,761.1"
 NILLUMBIK,2022,"1,170","1,859.1"
 WHITTLESEA,2022,"8,929","3,806.4"
 WYNDHAM,2022,"13,316","4,328.9"
 YARRA,2022,"9,089","9,862.7"
TOTAL,2022,"132,084","5,900.6"
 ALPINE,2022,349,"2,635.3"
 BASS COAST,2022,"2,060","4,912.7"
 BAW BAW,2022,"2,867","4,824.2"
 BENALLA,2022,945,"6,528.6"
 BOROONDARA,2022,"5,589","3,318.5"
 EAST GIPPSLAND,2022,"3,386","6,893.4"
 GREATER SHEPPARTON,2022,"5,626","8,175.4"
 INDIGO,2022,566,"3,263.2"
 KNOX,2022,"6,431","4,043.1"
 LATROBE,2022,"7,806","10,079.5"
 MANNINGHAM,2022,"2,860","2,292.9"
 MANSFIELD,2022,276,"2,678.5"
 MAROONDAH,2022,"5,249","4,550.4"
 MITCHELL,2022,"2,490","4,831.5"
 MOIRA,2022,"1,474","4,831.9"
 MONASH,2022,"8,726","4,548.2"
 MURRINDINDI,2022,535,"3,502.9"
 SOUTH GIPPSLAND,2022,"1,330","4,338.1"
 STRATHBOGIE,2022,381,"3,304.3"
 TOWONG,2022,130,"2,093.8"
 WANGARATTA,2022,"1,698","5,668.3"
 WELLINGTON,2022,"3,062","6,684.8"
 WHITEHORSE,2022,"5,826","3,413.3"
 WODONGA,2022,"2,701","6,157.7"
 YARRA RANGES,2022,"4,751","3,030.1"
TOTAL,2022,"77,114","4,524.5"
 BAYSIDE,2022,"3,767","3,729.6"
 CARDINIA,2022,"4,631","3,772.3"
 CASEY,2022,"14,852","3,939.8"
 FRANKSTON,2022,"9,180","6,547.3"
 GLEN EIRA,2022,"5,401","3,614.7"
 GREATER DANDENONG,2022,"12,649","7,967.3"
 KINGSTON,2022,"7,750","4,900.2"
 MORNINGTON PENINSULA,2022,"6,643","3,887.0"
 PORT PHILLIP,2022,"9,533","9,236.1"
 STONNINGTON,2022,"8,450","8,022.3"
TOTAL,2022,"82,856","5,221.8"
 ARARAT,2022,900,"7,592.9"
 BALLARAT,2022,"8,036","6,936.3"
 BULOKE,2022,206,"3,368.2"
 CAMPASPE,2022,"2,581","6,667.2"
 CENTRAL GOLDFIELDS,2022,802,"5,976.4"
 COLAC-OTWAY,2022,"1,102","4,939.6"
 CORANGAMITE,2022,512,"3,209.3"
 GANNAWARRA,2022,502,"4,717.1"
 GLENELG,2022,"1,100","5,483.3"
 GOLDEN PLAINS,2022,448,"1,763.6"
